iter	Passed	Remaining
0	2	231
1	4	201
2	5	189
3	7	174
4	9	174
5	11	172
6	12	169
7	14	166
8	16	164
9	18	165
10	20	164
11	22	162
12	24	161
13	26	160
14	28	158
15	29	156
16	31	154
17	33	152
18	35	150
19	37	148
20	39	146
21	40	144
22	42	142
23	44	140
24	46	138
25	47	136
26	49	134
27	51	132
28	53	130
29	55	128
30	57	127
31	58	125
32	60	123
33	62	121
34	64	119
35	66	117
36	68	116
37	70	114
38	71	112
39	73	110
40	75	108
41	76	105
42	77	103
43	79	101
44	81	99
45	83	97
46	85	96
47	87	94
48	88	92
49	90	90
50	92	88
51	94	86
52	95	85
53	97	83
54	98	80
55	100	78
56	101	76
57	102	74
58	104	72
59	106	71
60	108	69
61	110	67
62	111	65
63	113	63
64	115	62
65	117	60
66	119	58
67	120	56
68	122	55
69	124	53
70	126	51
71	127	49
72	130	48
73	131	46
74	133	44
75	135	42
76	138	41
77	139	39
78	142	37
79	144	36
80	146	34
81	148	32
82	150	30
83	151	28
84	153	27
85	155	25
86	157	23
87	159	21
88	160	19
89	162	18
90	164	16
91	166	14
92	168	12
93	169	10
94	171	9
95	173	7
96	175	5
97	177	3
98	178	1
99	180	0
